,property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,address,city_province,district,legal_docs,facing_direction,front_width,price_unit,front_width_unit,front_road_width,front_road_width_unit,balcony_direction,interior
12326,Biệt thự,15.75,225.0,m²,4.0,4.0,,"VSIP Bắc Ninh, Hữu Nghị, Phù Chẩn, Từ Sơn, Bắc Ninh",Bắc Ninh,Từ Sơn,Sổ đỏ/hồng riêng,Nam,10.0,tỷ,m,15.2,m,Nam,Không nội thất
12327,Biệt thự,24.3,322.0,m²,,,,"Dự án Centa Riverside, Đường Hữu Nghị, Phường Phù Chẩn, Từ Sơn, Bắc Ninh",Bắc Ninh,Từ Sơn,Hợp đồng mua bán,Nam,15.0,tỷ,m,15.0,m,Đông - Nam,Không nội thất
12328,Biệt thự,27.0,120.0,m²,6.0,6.0,,"Dự án The Manor Central Park, Đường Nghiêm Xuân Yêm, Phường Đại Kim, Hoàng Mai, Hà Nội",Hà Nội,Hoàng Mai,Sổ đỏ/hồng riêng,Đông - Nam,6.0,tỷ,m,20.0,m,Tây - Bắc,Cơ bản
12329,Biệt thự,5.1,68.0,m²,4.0,4.0,,"Royal Town Dĩ An, Nguyễn Thị Khắp, Tân Đông Hiệp, Dĩ An, Bình Dương",Bình Dương,Dĩ An,Sổ đỏ/hồng riêng,Đông - Nam,4.0,tỷ,m,21.5,m,Đông - Nam,Đầy đủ
12330,Biệt thự,23.0,150.0,m²,6.0,5.0,,"Vinhomes Ocean Park 2, Hải Âu 4, Long Hưng, Văn Giang, Hưng Yên",Hưng Yên,Văn Giang,Sổ đỏ/hồng riêng,,10.0,tỷ,m,20.0,m,,Cơ bản
12331,Biệt thự,20.0,80.0,m²,8.0,,,"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",Hà Nội,Long Biên,Sổ đỏ/hồng riêng,Nam,8.0,tỷ,m,,,,
12333,Biệt thự,22.0,270.0,m²,,,,"Dự án Eco Retreat Long An, Xã Thanh Phú, Bến Lức, Long An",Long An,Bến Lức,Sổ đỏ/hồng riêng,,,tỷ,,,,,Cơ bản
12335,Nhà mặt tiền,6.8,80.0,m²,4.0,4.0,,"Phường Tân Đông Hiệp, Dĩ An, Bình Dương",Bình Dương,Dĩ An,Sổ đỏ/hồng riêng,Đông - Bắc,4.0,tỷ,m,21.5,m,Đông - Bắc,Cơ bản
12336,Nhà mặt tiền,,42.0,m²,,,,"Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Sổ đỏ/hồng riêng,,,,,40.0,m,,Cơ bản
12337,Nhà mặt tiền,35.0,850.0,m²,9.0,10.0,,"Phường Tân Phú, Thủ Đức, Hồ Chí Minh",TP.HCM,Thủ Đức,Sổ đỏ/hồng riêng,,20.0,tỷ,m,30.0,m,,
12338,Nhà mặt tiền,27.8,76.0,m²,4.0,5.0,,"Đường Lê Lợi, Phường Quang Trung, Hà Đông, Hà Nội",Hà Nội,Hà Đông,Sổ đỏ/hồng riêng,,5.2,tỷ,m,15.0,m,,Đầy đủ.
12339,Nhà mặt tiền,103.0,350.0,m²,,,,"Đường Lê Ngô Cát, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",TP.HCM,Quận 3,Khác/Không rõ,,,tỷ,,,,,
12340,Nhà mặt tiền,27.0,127.0,m²,5.0,2.0,,"Đường Mường Hoa, Phường Sa Pa, Sa Pa, Lào Cai",Lào Cai,Sa Pa,Sổ đỏ/hồng riêng,,6.7,tỷ,m,,,,
12341,Nhà mặt tiền,53.8,126.0,m²,6.0,6.0,,"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",Hà Nội,Cầu Giấy,Sổ đỏ/hồng riêng,,5.0,tỷ,m,50.0,m,,Đầy đủ
12342,Nhà mặt tiền,5.1,68.0,m²,3.0,3.0,,"Dự án Royal Town Dĩ An, Đường Nguyễn Thị Khắp, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",Bình Dương,Dĩ An,Sổ đỏ/hồng riêng,Nam,4.0,tỷ,m,21.5,m,Đông - Nam,Cơ bản
12343,Nhà mặt tiền,57.89,105.0,m²,8.0,8.0,,"Phường Khương Trung, Thanh Xuân, Hà Nội",Hà Nội,Thanh Xuân,Sổ đỏ/hồng riêng,,7.0,tỷ,m,5.0,m,,Cơ bản
