,property_type,price_2,area_num,n_bedrooms_2,n_bathrooms_2,legal_docs,city/district,facing_direction,dimension_1,n_floors_2
0,Nhà mặt tiền,48000.0,65.0,,,Sổ hồng,ho-chi-minh,,4.0,4.0
1,Nhà hẻm ngõ,8200.0,105.0,6.0,6.0,Sổ hồng,ho-chi-minh,,4.6,2.0
2,Biệt thự,300000.0,1100.0,8.0,10.0,Sổ hồng,ho-chi-minh,,20.0,3.0
3,Nhà mặt tiền,890.0,60.0,3.0,3.0,Sổ hồng,ho-chi-minh,,4.0,
4,Nhà mặt tiền,40000.0,140.0,8.0,8.0,Sổ hồng,ho-chi-minh,,7.5,3.0
5,Nhà hẻm ngõ,3800.0,29.0,2.0,,Sổ hồng,ho-chi-minh,Đông Nam,,
6,Nhà hẻm ngõ,2980.0,24.0,2.0,2.0,Sổ hồng,ho-chi-minh,,,
7,Nhà mặt tiền,42000.0,64.0,4.0,3.0,Sổ hồng,ho-chi-minh,,4.0,3.0
8,Nhà mặt tiền,9200.0,100.0,,,Sổ hồng,ho-chi-minh,,,5.0
9,Nhà mặt tiền,8600.0,48.0,4.0,5.0,Sổ hồng,ho-chi-minh,,4.0,3.0
10,Nhà hẻm ngõ,11800.0,79.0,,,Sổ hồng,ho-chi-minh,Tây Nam,4.0,
11,Nhà mặt tiền,12800.0,47.0,,,Sổ hồng,ho-chi-minh,,4.1,5.0
12,Nhà hẻm ngõ,8690.0,42.0,4.0,4.0,Sổ hồng,ho-chi-minh,,,3.0
13,Nhà mặt tiền,,40.0,,,Sổ đỏ,ho-chi-minh,,,2.0
14,Nhà hẻm ngõ,2200.0,85.0,3.0,3.0,Giấy tờ hợp lệ,ho-chi-minh,,5.0,
15,Nhà mặt tiền,680.0,120.0,3.0,2.0,Sổ hồng,ho-chi-minh,,6.0,1.0
16,Nhà mặt tiền,700.0,98.0,3.0,2.0,Sổ hồng,ho-chi-minh,,5.1,
17,Nhà mặt tiền,1250.0,100.0,3.0,3.0,Sổ hồng,ho-chi-minh,,5.0,
18,Nhà mặt tiền,2111.0,500.0,,,Sổ hồng,ho-chi-minh,,25.0,
19,Nhà hẻm ngõ,8100.0005,68.0,3.0,3.0,Sổ hồng,ho-chi-minh,,4.0,3.0
20,Nhà mặt tiền,5500.0,46.0,3.0,3.0,Sổ hồng,ho-chi-minh,Tây Nam,,2.0
21,Nhà hẻm ngõ,7800.0,56.0,5.0,6.0,Sổ hồng,ho-chi-minh,,,
22,Nhà hẻm ngõ,10500.0,73.0,5.0,4.0,Sổ hồng,ho-chi-minh,Tây,,4.0
23,Nhà mặt tiền,1290.0,72.0,5.0,6.0,Sổ hồng,ho-chi-minh,,,
24,Nhà hẻm ngõ,30000.0,67.5,20.0,21.0,Sổ hồng,ho-chi-minh,Bắc,4.5,7.0
25,Nhà mặt tiền,22900.0,69.0,6.0,6.0,Sổ hồng,ho-chi-minh,Tây Nam,4.0,7.0
26,Nhà hẻm ngõ,15500.0,60.0,,,Giấy tờ hợp lệ,ho-chi-minh,,,
27,Nhà mặt tiền,55000.0,100.0,24.0,,Sổ đỏ,ho-chi-minh,,4.0,7.0
28,Nhà hẻm ngõ,4950.0,124.3,2.0,1.0,Sổ hồng,ho-chi-minh,,4.8,
29,Nhà mặt tiền,19600.0,60.2,,,Sổ hồng,ho-chi-minh,,4.2,4.0
30,Nhà mặt tiền,5700.0,48.0,2.0,2.0,Sổ hồng,ho-chi-minh,,4.0,2.0
31,Nhà hẻm ngõ,19900.0,328.0,52.0,52.0,Sổ hồng,ho-chi-minh,Tây Bắc,9.5,3.0
32,Nhà mặt tiền,7500.0,107.0,,,Sổ hồng,ho-chi-minh,,6.0,
33,Nhà hẻm ngõ,9500.0,90.0,,,Sổ hồng,ho-chi-minh,,5.0,2.0
34,Nhà mặt tiền,23900.0,160.0,,,Sổ hồng,ho-chi-minh,Đông Nam,8.0,3.0
35,Nhà hẻm ngõ,8000.0,71.0,4.0,4.0,Sổ hồng,ho-chi-minh,,4.0,
36,Nhà hẻm ngõ,3950.0,13.0,2.0,2.0,Sổ hồng,ho-chi-minh,,,
37,Nhà mặt tiền,33000.0,130.0,,,Sổ hồng,ho-chi-minh,Đông Nam,6.8,
38,Nhà mặt tiền,10800.0,30.0,5.0,4.0,Sổ hồng,ho-chi-minh,,3.0,5.0
39,Nhà hẻm ngõ,4450.0,55.0,4.0,5.0,Sổ hồng,ho-chi-minh,,5.5,4.0
40,Nhà hẻm ngõ,5650.0,37.0,2.0,2.0,Sổ hồng,ho-chi-minh,,2.6,
41,Nhà hẻm ngõ,4600.0,34.4,3.0,2.0,Sổ hồng,ho-chi-minh,,3.7,
42,Nhà mặt tiền,6500.0,93.0,1.0,1.0,Sổ hồng,ho-chi-minh,Nam,4.0,
43,Nhà hẻm ngõ,4950.0,32.0,4.0,4.0,Sổ hồng,ho-chi-minh,Nam,4.0,5.0
44,Nhà mặt tiền,4650.0,52.0,2.0,2.0,Sổ hồng,ho-chi-minh,Bắc,5.0,2.0
45,Nhà mặt tiền,6050.0,56.0,5.0,6.0,Sổ hồng,ho-chi-minh,,4.0,4.0
46,Nhà mặt tiền,13900.0,142.0,10.0,10.0,Sổ hồng,ho-chi-minh,Đông Nam,6.0,6.0
47,Nhà hẻm ngõ,6260.0,30.0,3.0,3.0,Sổ hồng,ho-chi-minh,,,
48,Nhà mặt tiền,65000.0,180.0,33.0,36.0,Sổ hồng,ho-chi-minh,Nam,12.0,5.0
49,Nhà mặt tiền,14000.0,76.0,,,Sổ hồng,ho-chi-minh,,4.0,3.0
50,Nhà hẻm ngõ,6300.0,41.0,,,Sổ hồng,ho-chi-minh,,4.3,
51,Nhà hẻm ngõ,4200.0,64.2,,,Sổ hồng,ho-chi-minh,,5.2,2.0
52,Nhà hẻm ngõ,4550.0,24.4,3.0,3.0,Sổ hồng,ho-chi-minh,Đông Bắc,4.0,4.0
53,Nhà mặt tiền,5650.0,52.0,4.0,3.0,Sổ hồng,ho-chi-minh,,4.0,4.0
54,Nhà hẻm ngõ,2950.0,52.0,2.0,2.0,Sổ hồng,ho-chi-minh,,4.0,
55,Nhà hẻm ngõ,7300.0,40.3,3.0,4.0,Sổ hồng,ho-chi-minh,Tây Bắc,3.5,3.0
56,Nhà hẻm ngõ,8600.0,45.0,4.0,4.0,Sổ hồng,ho-chi-minh,Đông Nam,6.0,4.0
57,Nhà mặt tiền,8490.0,74.0,5.0,6.0,Giấy tờ hợp lệ,ho-chi-minh,,4.0,5.0
58,Nhà hẻm ngõ,3250.0,42.0,3.0,2.0,Sổ hồng,ho-chi-minh,Đông Bắc,5.0,2.0
59,Biệt thự,115000.0,307.0,5.0,6.0,Sổ hồng,ho-chi-minh,,15.0,3.0
60,Nhà hẻm ngõ,1470.0,45.0,3.0,2.0,Sổ đỏ,ho-chi-minh,,4.0,2.0
61,Nhà hẻm ngõ,6550.0,90.0,2.0,2.0,Sổ hồng,ho-chi-minh,,4.0,2.0
62,Nhà mặt tiền,28000.0,168.0,,,Sổ hồng,ho-chi-minh,,,
63,Nhà mặt tiền,1800.0,125.0,10.0,10.0,Sổ hồng,ho-chi-minh,,,
64,Nhà mặt tiền,1100.0,44.0,2.0,2.0,Sổ hồng,ho-chi-minh,,4.0,
65,Nhà mặt tiền,8800.0,63.5,,,Sổ hồng,ho-chi-minh,,3.7,
66,Biệt thự,13500.0,93.0,8.0,8.0,Sổ hồng,ho-chi-minh,,6.2,
67,Nhà hẻm ngõ,10500.0,54.0,,,Sổ hồng,ho-chi-minh,,4.0,
68,Nhà hẻm ngõ,24500.0,275.0,,,Sổ hồng,ho-chi-minh,,12.0,
69,Nhà hẻm ngõ,7900.0,71.6,,,Sổ hồng,ho-chi-minh,,5.3,
70,Nhà mặt tiền,75000.0,110.0,,,Sổ hồng,ho-chi-minh,,4.2,
71,Nhà hẻm ngõ,2950.0,24.6,3.0,2.0,Sổ hồng,ho-chi-minh,,3.0,
72,Nhà hẻm ngõ,11600.0,87.5,6.0,5.0,Sổ hồng,ho-chi-minh,,5.0,
73,Nhà hẻm ngõ,8500.0,38.5,,,Sổ hồng,ho-chi-minh,,4.1,
74,Nhà mặt tiền,29500.0,106.1,9.0,4.0,Sổ hồng,ho-chi-minh,,8.1,4.0
75,Nhà mặt tiền,5250.0,18.1,,,Sổ hồng,ho-chi-minh,,4.3,
76,Nhà mặt tiền,6600.0,17.0,,,Sổ hồng,ho-chi-minh,,4.1,
77,Nhà hẻm ngõ,17000.0,64.0,,,Sổ hồng,ho-chi-minh,,4.0,
78,Nhà hẻm ngõ,6050.0,52.0,5.0,5.0,Sổ hồng,ho-chi-minh,,5.2,3.0
79,Nhà hẻm ngõ,6500.0,56.0,2.0,2.0,Sổ hồng,ho-chi-minh,,,
80,Biệt thự,122000.0,530.7,8.0,8.0,Sổ hồng,ho-chi-minh,,22.0,
81,Nhà hẻm ngõ,18500.0,65.0,6.0,6.0,Sổ hồng,ho-chi-minh,Đông Nam,3.7,5.0
82,Nhà hẻm ngõ,8100.0005,61.0,4.0,5.0,Sổ hồng,ho-chi-minh,,6.0,4.0
83,Nhà mặt tiền,12000.0,120.0,2.0,4.0,Sổ hồng,ho-chi-minh,,6.0,
84,Nhà mặt tiền,5250.0,58.0,3.0,2.0,Sổ hồng,ho-chi-minh,,4.3,4.0
85,Nhà mặt tiền,50000.0,111.0,20.0,20.0,Sổ hồng,ho-chi-minh,,8.5,5.0
86,Nhà mặt tiền,31000.0,652.6,,,Sổ hồng,ho-chi-minh,,,
87,Nhà mặt tiền,730.0,100.0,3.0,4.0,Sổ hồng,ho-chi-minh,,5.0,
88,Nhà mặt tiền,95000.0,155.0,,,Sổ hồng,ho-chi-minh,Đông Nam,5.5,2.0
89,Nhà mặt tiền,23300.0,78.4,,,Sổ hồng,ho-chi-minh,,3.6,
90,Nhà mặt tiền,29000.0,44.1,5.0,6.0,Sổ hồng,ho-chi-minh,,4.2,6.0
91,Nhà hẻm ngõ,29500.0,256.0,14.0,,Sổ hồng,ho-chi-minh,,11.0,
92,Nhà hẻm ngõ,12000.0,53.3,,,Sổ hồng,ho-chi-minh,,4.1,5.0
93,Nhà hẻm ngõ,12000.0,155.0,,1.0,Sổ hồng,ho-chi-minh,Tây Bắc,5.0,2.0
94,Nhà hẻm ngõ,5550.0,60.0,3.0,4.0,Sổ hồng,ho-chi-minh,,5.0,4.0
95,Nhà hẻm ngõ,4750.0,58.0,,,Sổ hồng,ho-chi-minh,,,
96,Nhà mặt tiền,210000.0,5564.0,,,Sổ hồng,ho-chi-minh,Đông Bắc,,
97,Nhà mặt tiền,,49.7,3.0,1.0,Sổ hồng,ho-chi-minh,,4.0,
98,Biệt thự,81000.0,432.0,4.0,6.0,Sổ hồng,ho-chi-minh,Đông Nam,,3.0
99,Nhà hẻm ngõ,33000.0,160.0,4.0,6.0,Sổ hồng,ho-chi-minh,,8.0,4.0
100,Nhà mặt tiền,9600.0,166.0,3.0,4.0,Sổ hồng,ho-chi-minh,Tây Bắc,5.0,
101,Biệt thự,14300.0,164.0,,,Sổ hồng,ho-chi-minh,,,
102,Nhà hẻm ngõ,1990.0,42.0,2.0,3.0,Sổ hồng,ho-chi-minh,,3.7,
103,Nhà hẻm ngõ,2090.0,58.0,2.0,3.0,Sổ hồng,ho-chi-minh,,4.2,
104,Nhà hẻm ngõ,2150.0,41.0,4.0,4.0,Sổ hồng,ho-chi-minh,,4.8,
105,Nhà hẻm ngõ,12200.0,73.0,,,Sổ hồng,ho-chi-minh,,,4.0
106,Nhà mặt tiền,43000.0,1553.0,,,Sổ hồng,ho-chi-minh,,9.0,
107,Nhà mặt tiền,25000.0,61.0,,,Sổ hồng,ho-chi-minh,,6.1,
108,Nhà mặt tiền,50000.0,220.0,,,Sổ hồng,ho-chi-minh,,11.0,
109,"Biệt thự, Villa",40000.0,160.0,4.0,4.0,Sổ hồng,ho-chi-minh,,10.0,
110,Biệt thự,95000.0,4.9,4.0,4.0,Sổ hồng,ho-chi-minh,,,
111,Nhà hẻm ngõ,35000.0,147.0,4.0,4.0,Sổ hồng,ho-chi-minh,,9.0,
112,Nhà hẻm ngõ,17500.0,65.0,,,Sổ hồng,ho-chi-minh,,,2.0
113,Nhà mặt tiền,41500.0,100.0,,,Sổ hồng,ho-chi-minh,,4.0,
114,"Nhà hẻm, ngõ",720.0,85.0,2.0,1.0,Sổ hồng,ho-chi-minh,,5.0,
115,Nhà mặt tiền,12860.0,60.0,3.0,1.0,Sổ hồng,ho-chi-minh,,5.0,2.0
116,Nhà mặt tiền,39990.0,211.0,20.0,20.0,Sổ hồng,ho-chi-minh,,8.0,4.0
117,Nhà mặt tiền,12800.0,56.0,5.0,4.0,Sổ hồng,ho-chi-minh,,4.0,4.0
118,Nhà mặt tiền,11000.0,150.0,2.0,2.0,Sổ hồng,ho-chi-minh,Nam,5.0,
119,Nhà hẻm ngõ,6500.0,80.0,4.0,5.0,Sổ hồng,ho-chi-minh,Đông Nam,5.0,3.0
120,Nhà mặt tiền,8800.0,987.0,3.0,3.0,Sổ hồng,ho-chi-minh,Đông,4.9,2.0
121,Nhà hẻm ngõ,6600.0,64.0,5.0,5.0,Sổ hồng,ho-chi-minh,,4.0,4.0
122,Nhà hẻm ngõ,2450.0,114.0,2.0,2.0,Sổ hồng,ho-chi-minh,,23.0,
123,Nhà mặt tiền,40000.0,144.0,,,Sổ hồng,ho-chi-minh,,7.5,
124,Nhà mặt tiền,17500.0,127.0,17.0,17.0,Sổ hồng,ho-chi-minh,,5.0,5.0
125,Nhà hẻm ngõ,15900.0,72.0,5.0,6.0,Sổ hồng,ho-chi-minh,,,4.0
126,Nhà hẻm ngõ,5680.0,27.0,2.0,2.0,Sổ hồng,ho-chi-minh,,,
127,Nhà hẻm ngõ,5380.0,56.0,3.0,3.0,Sổ hồng,ho-chi-minh,Bắc,4.0,2.0
128,"Nhà hẻm, ngõ",12500.0,1084.0,6.0,60.0,Sổ hồng,ho-chi-minh,Tây,6.0,
129,Nhà mặt tiền,17000.0,126.0,,,Sổ hồng,ho-chi-minh,,7.0,1.0
130,Nhà hẻm ngõ,1700.0,34.0,3.0,4.0,Sổ hồng,ho-chi-minh,,,
131,Nhà mặt tiền,59000.0,140.0,10.0,10.0,Sổ hồng,ho-chi-minh,,7.1,4.0
132,Nhà hẻm ngõ,1250.0,17.0,4.0,4.0,Sổ hồng,ho-chi-minh,,3.5,4.0
133,Nhà mặt tiền,22500.0,64.0,5.0,6.0,Sổ hồng,ho-chi-minh,Tây Bắc,4.0,5.0
134,Nhà hẻm ngõ,12500.0,70.0,,,Sổ hồng,ho-chi-minh,,,
135,Nhà hẻm ngõ,2300.0,63.0,3.0,4.0,Sổ hồng,ho-chi-minh,,,
136,Nhà mặt tiền,3850.0,80.0,4.0,5.0,Sổ hồng,ho-chi-minh,,5.0,2.0
137,Nhà hẻm ngõ,4260.0,48.0,2.0,2.0,Sổ hồng,ho-chi-minh,,4.1,1.0
138,Nhà mặt tiền,15300.0,73.5,,,Sổ hồng,ho-chi-minh,,,
139,Nhà hẻm ngõ,2890.0,69.0,4.0,4.0,Sổ hồng,ho-chi-minh,,4.0,
140,Nhà hẻm ngõ,11800.0,56.0,,,Sổ hồng,ho-chi-minh,,,4.0
141,Nhà hẻm ngõ,4800.0,49.0,3.0,2.0,Sổ hồng,ho-chi-minh,,7.0,2.0
142,Nhà hẻm ngõ,2350.0,50.0,4.0,5.0,Sổ hồng,ho-chi-minh,,,4.0
143,Nhà hẻm ngõ,2680.0,15.0,2.0,3.0,Sổ hồng,ho-chi-minh,,3.0,4.0
144,Nhà mặt tiền,33500.0,160.0,4.0,4.0,Sổ hồng,ho-chi-minh,Tây Nam,8.0,3.0
145,Nhà hẻm ngõ,2390.0,50.0,4.0,4.0,Sổ hồng,ho-chi-minh,,,
146,Nhà hẻm ngõ,10500.0,70.0,5.0,5.0,Sổ hồng,ho-chi-minh,,5.0,4.0
147,Nhà hẻm ngõ,4950.0,50.0,4.0,3.0,Sổ hồng,ho-chi-minh,Đông Nam,3.6,4.0
148,Nhà hẻm ngõ,2990.0,47.0,4.0,3.0,Sổ hồng,ho-chi-minh,,,
149,Nhà hẻm ngõ,3500.0,43.0,2.0,2.0,Giấy tờ hợp lệ,ho-chi-minh,,4.3,
150,Biệt thự,60000.0,236.9,4.0,5.0,Sổ hồng,ho-chi-minh,,9.0,
151,Nhà hẻm ngõ,4950.0,30.0,3.0,4.0,Sổ hồng,ho-chi-minh,Nam,3.2,3.0
152,Biệt thự,80000.0,339.0,,,Sổ hồng,ho-chi-minh,Đông,16.0,
153,Nhà mặt tiền,1750.0,30.0,2.0,2.0,Sổ hồng,ho-chi-minh,,,
154,Nhà hẻm ngõ,2350.0,40.0,2.0,2.0,Sổ hồng,ho-chi-minh,Tây,,
155,Nhà hẻm ngõ,11800.0,70.0,2.0,2.0,Sổ hồng,ho-chi-minh,,5.0,2.0
156,Nhà hẻm ngõ,4950.0,50.0,3.0,2.0,Sổ hồng,ho-chi-minh,Tây Bắc,3.5,2.0
157,Nhà hẻm ngõ,3850.0,25.0,2.0,2.0,Sổ hồng,ho-chi-minh,Nam,3.5,2.0
158,Nhà hẻm ngõ,6600.0,142.0,13.0,14.0,Sổ hồng,ho-chi-minh,Tây,2.0,3.0
159,Nhà mặt tiền,25000.0,86.0,,,Sổ hồng,ho-chi-minh,,,
160,Nhà mặt tiền,31500.0,116.0,,,Sổ hồng,ho-chi-minh,Đông Nam,6.8,
161,Nhà hẻm ngõ,2150.0,56.0,,,Sổ hồng,ho-chi-minh,,4.0,4.0
162,Nhà mặt tiền,22500.0,128.0,,,Sổ đỏ,ho-chi-minh,,6.2,
163,Nhà hẻm ngõ,1900.0,28.5,2.0,2.0,Sổ hồng,ho-chi-minh,,3.6,
164,Biệt thự,130000.0,312.5,5.0,6.0,Sổ hồng,ho-chi-minh,Tây Nam,16.3,
165,Biệt thự,11500.0,280.0,3.0,3.0,Sổ hồng,ho-chi-minh,,7.5,
166,Nhà hẻm ngõ,13900.0,71.0,6.0,7.0,Sổ hồng,ho-chi-minh,Tây Nam,4.4,5.0
167,Nhà hẻm ngõ,2150.0,52.0,4.0,4.0,Sổ hồng,ho-chi-minh,,4.0,4.0
168,Nhà mặt tiền,14200.0,73.0,,,Sổ hồng,ho-chi-minh,,,2.0
169,Biệt thự,58000.0,294.0,,,Sổ hồng,ho-chi-minh,,10.0,
170,Nhà mặt tiền,7500.0,26.3,,,Sổ hồng,ho-chi-minh,,3.5,5.0
171,Nhà hẻm ngõ,22000.0,85.0,2.0,2.0,Sổ hồng,ho-chi-minh,,5.1,
172,Nhà hẻm ngõ,2250.0,68.0,4.0,5.0,Sổ hồng,ho-chi-minh,,4.0,3.0
173,Nhà hẻm ngõ,6380.0,64.0,4.0,5.0,Sổ hồng,ho-chi-minh,Tây,8.0,4.0
174,Nhà hẻm ngõ,2500.0,22.0,,,Sổ hồng,ho-chi-minh,,2.2,
175,Nhà hẻm ngõ,2650.0,67.0,4.0,4.0,Sổ hồng,ho-chi-minh,,,3.0
176,Nhà hẻm ngõ,5690.0,60.0,5.0,5.0,Sổ hồng,ho-chi-minh,Đông Nam,3.5,2.0
177,Nhà hẻm ngõ,1580.0,69.0,3.0,2.0,Sổ hồng,ho-chi-minh,,,
178,Nhà hẻm ngõ,3150.0,48.0,4.0,4.0,Sổ hồng,ho-chi-minh,,4.0,4.0
179,Nhà hẻm ngõ,8800.0,81.4,,,Sổ hồng,ho-chi-minh,,,1.0
180,Nhà hẻm ngõ,3390.0,72.0,3.0,3.0,Sổ hồng,ho-chi-minh,,,
181,Nhà mặt tiền,18500.0,40.0,4.0,4.0,Sổ hồng,ho-chi-minh,,4.0,
182,Nhà mặt tiền,23200.0,60.0,,,Sổ hồng,ho-chi-minh,,,
183,Nhà mặt tiền,45000.0,84.0,3.0,,Sổ đỏ,ho-chi-minh,,,
184,Nhà hẻm ngõ,5600.0,120.0,4.0,4.0,Sổ hồng,ho-chi-minh,,7.0,3.0
185,Nhà hẻm ngõ,1300.0,48.0,3.0,2.0,Sổ hồng,ho-chi-minh,,4.0,3.0
186,Nhà hẻm ngõ,12500.0,59.0,5.0,6.0,Sổ hồng,ho-chi-minh,,3.5,5.0
187,Nhà hẻm ngõ,2250.0,137.2,4.0,3.0,Sổ hồng,ho-chi-minh,,,
188,Nhà hẻm ngõ,4890.0,38.0,2.0,2.0,Sổ hồng,ho-chi-minh,,4.2,2.0
189,Nhà mặt tiền,560000.0,1100.0,,,Sổ hồng,ho-chi-minh,,16.5,
190,Nhà hẻm ngõ,2350.0,50.0,4.0,4.0,Sổ hồng,ho-chi-minh,,,
191,Nhà hẻm ngõ,4650.0,70.0,4.0,5.0,Sổ hồng,ho-chi-minh,,,
192,Nhà mặt tiền,720.0,80.0,2.0,2.0,Sổ đỏ,ho-chi-minh,,5.0,
193,Nhà hẻm ngõ,1900.0,64.0,2.0,2.0,Sổ hồng,ho-chi-minh,,4.0,
194,Nhà hẻm ngõ,29000.0,150.0,3.0,4.0,Sổ hồng,ho-chi-minh,Đông,6.0,
195,Nhà hẻm ngõ,8700.0,65.2,5.0,5.0,Sổ hồng,ho-chi-minh,,4.0,2.0
196,Nhà hẻm ngõ,4550.0,25.0,3.0,3.0,Sổ hồng,ho-chi-minh,,4.0,4.0
197,Nhà hẻm ngõ,1550.0,41.0,4.0,4.0,Sổ hồng,ho-chi-minh,,4.0,4.0
198,Nhà mặt tiền,33000.0,143.0,,,Sổ hồng,ho-chi-minh,,5.4,
199,Nhà hẻm ngõ,2150.0,52.0,5.0,6.0,Sổ hồng,ho-chi-minh,,4.0,4.0
200,Nhà hẻm ngõ,2150.0,64.0,2.0,3.0,Sổ hồng,ho-chi-minh,,,
201,Nhà hẻm ngõ,2700.0,69.8,4.0,4.0,Sổ hồng,ho-chi-minh,,4.0,3.0
202,Nhà hẻm ngõ,3580.0,27.0,2.0,2.0,Sổ hồng,ho-chi-minh,,3.0,1.0
203,Nhà hẻm ngõ,2150.0,71.0,4.0,5.0,Sổ hồng,ho-chi-minh,,4.0,
204,Biệt thự,56000.0,294.0,5.0,5.0,Sổ hồng,ho-chi-minh,Tây Nam,10.0,
205,Nhà hẻm ngõ,2850.0,70.0,5.0,6.0,Sổ hồng,ho-chi-minh,,4.0,3.0
206,Nhà hẻm ngõ,2100.0,50.0,3.0,2.0,Sổ hồng,ho-chi-minh,,4.0,2.0
207,Nhà hẻm ngõ,1950.0,36.0,4.0,4.0,Sổ hồng,ho-chi-minh,,4.1,
208,Nhà mặt tiền,27000.0,100.0,,,Sổ hồng,ho-chi-minh,,10.0,
209,Nhà hẻm ngõ,6150.0,50.0,3.0,3.0,Sổ đỏ,ho-chi-minh,Tây,5.0,4.0
210,Nhà hẻm ngõ,2200.0,69.8,4.0,5.0,Sổ hồng,ho-chi-minh,,4.2,
211,Nhà hẻm ngõ,2380.0,14.0,2.0,3.0,Sổ hồng,ho-chi-minh,,2.4,2.0
212,Nhà mặt tiền,9900.0,84.0,6.0,6.0,Giấy tờ hợp lệ,ho-chi-minh,,6.6,
213,Nhà hẻm ngõ,3900.0,36.0,4.0,2.0,Sổ đỏ,ho-chi-minh,Tây,4.0,3.0
214,Nhà hẻm ngõ,4700.0,64.0,2.0,2.0,Sổ đỏ,ho-chi-minh,,4.0,
215,Nhà hẻm ngõ,5900.0,52.0,4.0,5.0,Sổ đỏ,ho-chi-minh,Tây,4.0,4.0
216,Nhà mặt tiền,150000.0,1707.0,2.0,1.0,Sổ hồng,ho-chi-minh,Tây,22.0,1.0
217,Nhà mặt tiền,12900.0,62.2,,,Sổ hồng,ho-chi-minh,,3.5,2.0
218,Nhà hẻm ngõ,5700.0,58.7,4.0,4.0,Sổ hồng,ho-chi-minh,,4.4,
219,Nhà mặt tiền,7500.0,52.0,4.0,4.0,Sổ đỏ,ho-chi-minh,Tây,4.0,4.0
220,Nhà hẻm ngõ,1650.0,55.0,4.0,4.0,Sổ hồng,ho-chi-minh,,4.0,4.0
221,Nhà hẻm ngõ,7700.0,80.0,4.0,5.0,Sổ hồng,ho-chi-minh,Tây,5.0,4.0
222,Nhà hẻm ngõ,5500.0,85.0,3.0,2.0,Sổ hồng,ho-chi-minh,Tây,5.0,2.0
223,Nhà mặt tiền,5350.0,65.0,3.0,4.0,Sổ đỏ,ho-chi-minh,Tây,5.0,2.0
224,Nhà hẻm ngõ,1990.0,50.0,3.0,3.0,Sổ hồng,ho-chi-minh,,,3.0
225,Nhà hẻm ngõ,1800.0,33.0,4.0,3.0,Sổ hồng,ho-chi-minh,,3.0,
226,Nhà hẻm ngõ,3150.0,81.5,3.0,4.0,Sổ hồng,ho-chi-minh,,5.0,
227,Nhà hẻm ngõ,2150.0,42.0,,,Sổ hồng,ho-chi-minh,,,
228,Nhà hẻm ngõ,2590.0,67.2,4.0,4.0,Sổ hồng,ho-chi-minh,,4.0,
229,Nhà hẻm ngõ,1800.0,46.6,2.0,2.0,Sổ hồng,ho-chi-minh,,3.8,2.0
230,Nhà mặt tiền,14500.0,65.6,,,Sổ hồng,ho-chi-minh,Tây Bắc,3.5,4.0
231,Nhà hẻm ngõ,2080.0,49.7,4.0,5.0,Sổ hồng,ho-chi-minh,,4.5,
232,Nhà hẻm ngõ,7450.0,825.0,5.0,5.0,Sổ hồng,ho-chi-minh,Tây,4.0,4.0
233,Nhà hẻm ngõ,2050.0,33.0,,,Sổ hồng,ho-chi-minh,,,
234,Biệt thự,17900.0,151.0,5.0,4.0,Sổ hồng,ho-chi-minh,,,
235,Nhà hẻm ngõ,2390.0,48.0,4.0,4.0,Sổ hồng,ho-chi-minh,,4.0,
236,Nhà hẻm ngõ,1850.0,51.0,4.0,4.0,Sổ hồng,ho-chi-minh,,4.0,4.0
237,Nhà hẻm ngõ,4790.0,60.0,4.0,3.0,Sổ hồng,ho-chi-minh,Tây,4.0,2.0
238,Nhà hẻm ngõ,2650.0,68.0,,,Sổ hồng,ho-chi-minh,,,
239,Nhà hẻm ngõ,6800.0,110.0,3.0,4.0,Sổ đỏ,ho-chi-minh,Tây,5.5,1.0
240,Nhà hẻm ngõ,1840.0,46.0,,,Sổ hồng,ho-chi-minh,,,
241,Nhà hẻm ngõ,6250.0,64.0,4.0,5.0,Sổ đỏ,ho-chi-minh,Tây,4.0,3.0
242,Nhà mặt tiền,6750.0,121.0,2.0,2.0,Sổ hồng,ho-chi-minh,Tây,8.0,
243,Nhà hẻm ngõ,1750.0,38.0,2.0,2.0,Sổ hồng,ho-chi-minh,,,
244,Nhà hẻm ngõ,2150.0,33.0,,,Sổ hồng,ho-chi-minh,,,
245,Nhà hẻm ngõ,3150.0,59.0,,,Sổ đỏ,ho-chi-minh,,,
246,Nhà hẻm ngõ,1550.0,46.6,2.0,3.0,Sổ hồng,ho-chi-minh,,5.0,2.0
247,Biệt thự,39000.0,160.0,4.0,5.0,Sổ hồng,ho-chi-minh,Tây Bắc,8.0,
248,Nhà mặt tiền,6980.0,52.0,5.0,5.0,Sổ hồng,ho-chi-minh,,4.5,5.0
249,Nhà hẻm ngõ,2250.0,50.2,2.0,3.0,Sổ hồng,ho-chi-minh,,,
250,Nhà hẻm ngõ,2250.0,71.1,2.0,3.0,Sổ đỏ,ho-chi-minh,,4.0,
251,Nhà hẻm ngõ,1800.0,46.5,4.0,3.0,Sổ hồng,ho-chi-minh,,4.0,
252,Nhà mặt tiền,19900.0,119.0,7.0,8.0,Sổ hồng,ho-chi-minh,,7.0,
253,Nhà hẻm ngõ,2280.0,68.0,4.0,5.0,Sổ hồng,ho-chi-minh,,,3.0
254,Nhà hẻm ngõ,33000.0,240.0,,,Sổ hồng,ho-chi-minh,,,
255,Nhà hẻm ngõ,4350.0,50.0,3.0,2.0,Sổ hồng,ho-chi-minh,,4.3,3.0
